"objtype","subtype","name","pos_x","pos_y","pos_z","orient_x","orient_y","orient_z","orient_w","scale_x","scale_y","scale_z","hull_x","hull_y","hull_z","density","friction","bounce","colMask","colMsg","meshURI","diffuse_x","diffuse_y","diffuse_z","ambient","specular_x","specular_y","specular_z","shadowpower","range","constantfall","linearfall","quadfall","cone_in","cone_out","power","cone_fall","shadow"
"light","directional",,-1.86,0,3.32,22.45,-63.46,-164.4,,,,,,,,,,,,,,0.6,0.6,0.6,0.33,0.99,0.97,0.9,0.11,200000,0,0,0,30,40,0.9,1,0
"camera",,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mesh","graphiconly","sky_double_mito_gloomy_01_b_ddm",0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///sky_double_mito_gloomy_01_b_ddm.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","door_01",-2.29,0.08,-14.33,0,0,0,1,1,1,1,,,,,,,,,"meru:///door_01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","door_04",2.47,0.08,-14.29,-8.74E-008,0,0,1,1,1,1,,,,,,,,,"meru:///door_02.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_18",-7.87,2.75,16.22,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_18.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_08",3.85,-0.2,-19.68,0,0,0,1,1,1,1,,,,,,,,,"meru:///lever_08.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_03",1.01,0.26,22.69,0,0,0,1,1,1,1,,,,,,,,,"meru:///lever_03.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_02",6.78,0.26,21.21,0,0,0,1,1,1,1,,,,,,,,,"meru:///lever_02.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","screen_321",-0.23,2.32,22.89,0,0,0,1,1,1,1,,,,,,,,,"meru:///screen_321.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","screen_322",1,2.11,23.03,0,0,0,1,1,1,1,,,,,,,,,"meru:///screen_322.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","entry_arches_01",0,0,-3.86,0,0,0,1,1,1,1,,,,,,,,,"meru:///entry_arches_01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","entry_arches_02",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///entry_arches_02.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","entry_arches_03",0,0,2.83,0,0,0,1,1,1,1,,,,,,,,,"meru:///entry_arches_03.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","entry_arches_04",0,0,6.15,0,0,0,1,1,1,1,,,,,,,,,"meru:///entry_arches_04.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","entry_arches_05",0,0,9.49,0,0,0,1,1,1,1,,,,,,,,,"meru:///entry_arches_05.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_01",8.26,2.75,16.22,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_02",8.26,2.33,15.91,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_02.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_03",8.26,1.9,16.22,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_03.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_04",8.25,2.67,18.18,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_04.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_05",8.27,2.37,19.12,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_05.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_06",8.27,1.93,21.21,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_06.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_07",8.27,2.53,21.65,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_07.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_08",1.65,2.92,23.6,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_08.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_09",1.15,3.08,23.6,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_09.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_10",-2.74,2.27,23.46,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_10.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_11",-3.31,2.06,23.19,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_11.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_12",-7.88,2.53,21.65,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_12.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_13",-7.88,1.93,21.21,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_13.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_14",-7.87,2.37,19.12,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_14.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_15",-7.88,2.67,18.18,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_15.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_16",-7.87,1.9,16.22,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_16.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_a_17",-7.87,2.33,15.91,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_a_17.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","screen_323",-7.31,2.27,17.16,0,0,0,1,1,1,1,,,,,,,,,"meru:///screen_323.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","screen_324",7.63,2.32,17.15,0,0,0,1,1,1,1,,,,,,,,,"meru:///screen_324.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel_5",-3.14,1.19,22.86,0,0,0,1,1,1,1,,,,,,,,,"meru:///wheel_5.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel_small_1",2.02,1.84,22.95,0,0,0,1,1,1,1,,,,,,,,,"meru:///wheel_small_1.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel_09",7.4,1.76,18.13,0,0,0,1,1,1,1,,,,,,,,,"meru:///wheel_09.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel_10",-7.11,1.76,18.13,0,0,0,1,1,1,1,,,,,,,,,"meru:///wheel_10.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel_small_05",-1.04,1.63,22.92,0,0,0,1,1,1,1,,,,,,,,,"meru:///wheel_small_05.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel_small_06",-0.72,1.63,22.92,0,0,0,1,1,1,1,,,,,,,,,"meru:///wheel_small_06.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel_small_07",-0.72,1.91,22.92,0,0,0,1,1,1,1,,,,,,,,,"meru:///wheel_small_07.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel_small_08",-1.04,1.91,22.92,0,0,0,1,1,1,1,,,,,,,,,"meru:///wheel_small_08.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_18",-6.89,0.26,14.01,0,0,0,1,1,1,1,,,,,,,,,"meru:///lever_18.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_19",-6.09,0.26,21.59,0,0,0,1,1,1,1,,,,,,,,,"meru:///lever_19.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel_11",-7.02E-007,0.74,-23.5,0,0,0,1,1,1,1,,,,,,,,,"meru:///wheel_11.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_20",0,-0.2,-19.63,0,0,0,1,1,1,1,,,,,,,,,"meru:///lever_20.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_21",-3.87,-0.2,-19.61,0,0,0,1,1,1,1,,,,,,,,,"meru:///lever_21.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel_12",4.97,0.73,-23.43,0,0,0,1,1,1,1,,,,,,,,,"meru:///wheel_12.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel_13",-5.02,0.74,-23.43,0,0,0,1,1,1,1,,,,,,,,,"meru:///wheel_13.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","outer_island_01",-80,-0.64,18.72,0,0,0,1,1,1,1,,,,,,,,,"meru:///outer_island_01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","outer_island_02",-53.7,-16.11,12.85,0,0,0,1,1,1,1,,,,,,,,,"meru:///outer_island_02.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","outer_island_04",-66.29,24.71,61.92,-4.37E-008,-4.37E-008,4.37E-008,1,1,1,1,,,,,,,,,"meru:///outer_island_04.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","outer_island_03",-29.81,-0.64,58.23,0,0,0,1,1,1,1,,,,,,,,,"meru:///outer_island_03.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_22",0,-0.2,-0.07,0,0,0,1,1,1,1,,,,,,,,,"meru:///lever_22.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","outer_island_05",78.81,-0.64,22.11,0,0,0,1,1,1,1,,,,,,,,,"meru:///outer_island_05.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","outer_island_06",74.26,-16.11,41.35,-4.37E-008,4.37E-008,-4.37E-008,1,1,1,1,,,,,,,,,"meru:///outer_island_06.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","outer_island_07",51.42,24.71,89.34,-4.37E-008,4.37E-008,4.37E-008,1,1,1,1,,,,,,,,,"meru:///outer_island_07.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","outer_island_08",94.5,-0.64,47.52,0,0,0,1,1,1,1,,,,,,,,,"meru:///outer_island_08.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hand_rail_01",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///hand_rail_01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","ducts_01",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///ducts_01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_static_15",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///lever_static_15.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper_01",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///hydro_upper_01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper_020",-11.99,0.94,24.19,0,0,0,1,1,1,1,,,,,,,,,"meru:///hydro_upper_020.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_cogs1",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///lever_cogs1.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hand_rail_02",0,0,0,-8.74E-008,0,0,1,1,1,1,,,,,,,,,"meru:///hand_rail_02.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","door_frame",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///door_frame.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","tank306",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///tank306.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","graff_machine_center",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///graff_machine_center.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","ground_a_01",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.1,0.2,1,1,"meru:///ground_a_01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_553",6.03,-8.08,19.8,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_553.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","bottom_squares",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///bottom_squares.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","top_squares",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///top_squares.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lower_pipes_03",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///lower_pipes_03.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","arch_half_08",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///arch_half_08.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_holders_01",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///cog_holders_01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","graff_machine_side308",8.26,1.78,18.14,0,0,0,1,1,1,1,,,,,,,,,"meru:///graff_machine_side308.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","graff_machine_side309",-7.88,1.78,18.14,0,0,0,1,1,1,1,,,,,,,,,"meru:///graff_machine_side309.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lower_pipes_01",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///lower_pipes_01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","upper_pipes_01",0,0,0,0,0,0,1,1,1,1,,,,,,,,,"meru:///upper_pipes_01.mesh",,,,,,,,,,,,,,,,,
