"objtype","subtype","name","pos_x","pos_y","pos_z","orient_x","orient_y","orient_z","orient_w","scale_x","scale_y","scale_z","hull_x","hull_y","hull_z","density","friction","bounce","colMask","colMsg","meshURI","diffuse_x","diffuse_y","diffuse_z","ambient","specular_x","specular_y","specular_z","shadowpower","range","constantfall","linearfall","quadfall","cone_in","cone_out","power","cone_fall","shadow"
"mesh","graphiconly","artwork_01",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","artwork_02",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen02.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","artwork_03",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen03.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","artwork_04",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen04.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","artwork_05",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen05.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","artwork_06",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen06.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","artwork_07",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen07.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","artwork_08",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen08.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","artwork_09",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen09.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","artwork_10",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen10.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_11",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen11.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_12",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen12.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_13",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen13.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_14",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen14.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_15",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen15.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_16",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen16.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_17",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen17.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_18",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen18.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_19",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen19.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_20",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen20.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_21",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen21.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_22",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen22.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_23",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen23.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_24",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen24.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_25",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen25.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_26",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen26.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_27",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen27.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_28",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen28.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_29",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen29.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_30",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen30.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_31",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen31.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_32",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen32.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_33",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen33.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","artwork_34",0,-10,0.3,0,0,0,,0.35,0.35,0.35,1,1,1,0,0.1,0.2,0,0,"meru:///Jais_Nielsen34.mesh",,,,,,,,,,,,,,,,,
