"objtype","subtype","name","parent","pos_x","pos_y","pos_z","orient_x","orient_y","orient_z","orient_w","scale_x","scale_y","scale_z","hull_x","hull_y","hull_z","density","friction","bounce","colMask","colMsg","meshURI","diffuse_x","diffuse_y","diffuse_z","ambient","specular_x","specular_y","specular_z","shadowpower","range","constfall","linearfall","quadfall","cone_in","cone_out","power","cone_fall","shadow"
"camera",,,,8.44,37.4,99.45,-10.82,5.79,-1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"light","directional",,,-1.86,3515.99,3.32,22.45,60,-164.4,,,,,,,,,,,,,,0.6,0.6,0.6,0.33,0.99,0.97,0.9,0.11,200000,0,0,0,30,40,0.5,1,0
"#","staticmesh","terrain_main_02",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///terrain_main_02.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","atrium_conector_a_02",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///atrium_conector_a_02.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","atrium_conn_window_c_01",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///atrium_conn_window_c_01.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","atrium_conn_window_c_01.1",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///atrium_conn_window_c_01.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","atrium_connector_a_01",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///atrium_connector_a_01.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","atrium_connector_a_03",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///atrium_connector_a_03.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","atrium_link_01",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///atrium_link_01.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","atrium_link_02",,0.28,-0.59,-1.45,0,12.36,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///atrium_link_02.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","b6_firedoor_frame1",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///b6_firedoor_frame1.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","b7_firedoor_door",,-14.9,-1.16,-4.41,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///b7_firedoor_door.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","b7_firedoor_door_01",,-5.08,-1.16,-2.4,0,0,0,,1,1,1,0,0,0,0,0,0,0,1,"meru:///b7_firedoor_door.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","b7_light_04_track",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///b7_light_04_track.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","b7_light_hanging05_nocov",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///b7_light_hanging05_nocov.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","b7_skylght_drop_cloth",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///b7_skylght_drop_cloth.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","bldg_06_skylgt_01",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///bldg_06_skylgt_01.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","bldg_09_skylgt",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///bldg_09_skylgt.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","bldng7_lightrack",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///bldng7_lightrack.mesh",,,,,,,,,,,,,,,,,
"#","graphiconly","bornh_bldg02a_roof_01",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///bornh_bldg02a_roof_01.mesh",,,,,,,,,,,,,,,,,
