"objtype","subtype","name","parent","pos_x","pos_y","pos_z","orient_x","orient_y","orient_z","orient_w","scale_x","scale_y","scale_z","hull_x","hull_y","hull_z","density","friction","bounce","colMask","colMsg","meshURI","diffuse_x","diffuse_y","diffuse_z","ambient","specular_x","specular_y","specular_z","shadowpower","range","constfall","linearfall","quadfall","cone_in","cone_out","power","cone_fall","shadow"
"camera",,,,-862.67,176.52,-532.85,-6.26,-126.04,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"light","directional",,,-1.86,0,3.32,22.45,160,-164.4,,,,,,,,,,,,,,0.6,0.6,0.6,0.33,0.99,0.97,0.9,0.11,200000,0,0,0,30,40,0.9,1,0
"mesh","graphiconly","Surreal_Tree_03_08",,485.86,243.16,105.39,0,-133.03,0,,0.63,0.63,0.63,0,0,0,0,0,0,0,0,"meru:///Surreal_Tree_03_08.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","Surreal_Tree_03_10",,587.25,101.76,-79.66,-61.34,157.81,-36.42,,0.52,0.52,0.52,0,0,0,0,0,0,0,0,"meru:///Surreal_Tree_03_10.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","Surreal_Tree_03_11",,-245.93,102.47,337.51,0,12.33,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///Surreal_Tree_03_11.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","VirtualOffice_02",,901.38,188.38,-141,0,59.39,0,,0.42,0.42,0.42,0,0,0,0,0,0,0,0,"meru:///VirtualOffice_02.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","entry_arches_01",,503.96,34.91,-264.52,0,180,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///entry_arches_01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","entry_arches_02",,503.96,34.91,-268.39,0,180,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///entry_arches_02.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","entry_arches_03",,503.96,34.91,-271.22,0,180,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///entry_arches_03.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","entry_arches_04",,503.96,34.91,-274.54,0,180,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///entry_arches_04.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","entry_arches_05",,503.96,34.91,-277.87,0,180,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///entry_arches_05.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","granite_block_base_a_01",,511.05,38.72,81,0,70.59,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///granite_block_base_a_01.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","ground_01",,503.96,34.91,-268.39,0,180,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///ground_01.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_01",,-415.61,5.19,-157.1,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_01.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_02",,-410.9,3.62,-144.42,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_02.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_03",,-406.88,1.23,-132.58,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_03.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_04",,-403.61,-0.63,-119.9,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_04.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_05",,-401.17,-0.99,-106.4,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_05.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_06",,-398.47,3.26,-86.05,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_06.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_07",,-392.79,13.89,-53.27,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_07.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_08",,-381.51,24.1,-18.41,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_08.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_09",,-367.01,29.34,6.77,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_09.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_10",,-355.05,31,20.98,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_10.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_11",,-344,30.74,31.32,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_11.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_12",,-330.27,29.28,42.37,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_12.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_13",,-312.58,26.83,54.5,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_13.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_14",,-290.24,25.8,68.26,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_14.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_15",,-272.02,27.56,82.59,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_15.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_16",,-261.28,30.43,94.98,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_16.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_17",,-251.56,33.36,106.89,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_17.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_18",,-238.9,36.05,119.31,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_18.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_19",,-224.81,38.77,128.75,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_19.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_20",,-205.49,40.84,135.1,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_20.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_21",,-183.05,41.23,138.78,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_21.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_22",,-157.57,40.24,141.29,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_22.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_23",,-123.57,41.79,143.13,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_23.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_24",,-89.65,52.87,145.9,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_24.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_25",,-59.73,71.29,153.3,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_25.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_26",,-33.28,88.61,164.9,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_26.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_27",,-7.4,100.52,174.81,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_27.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_28",,17.65,105.29,178.74,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_28.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_29",,37.55,100.68,180.38,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_29.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_30",,52.54,88.51,181.95,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_30.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_31",,69.4,81.62,183.19,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_31.mesh",,,,,,,,,,,,,,,,,
"mesh","staticmesh","in_c_path_1_cell_32",,92.15,77.11,185.15,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,"meru:///in_c_path_1_cell_32.mesh",,,,,,,,,,,,,,,,,
