"objtype","subtype","name","parent","pos_x","pos_y","pos_z","orient_x","orient_y","orient_z","orient_w","scale_x","scale_y","scale_z","hull_x","hull_y","hull_z","density","friction","bounce","colMask","colMsg","meshURI","diffuse_x","diffuse_y","diffuse_z","ambient","specular_x","specular_y","specular_z","shadowpower","range","constfall","linearfall","quadfall","cone_in","cone_out","power","cone_fall","shadow"
"camera",,,,68.97,12.23,8.48,0,92.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"light","directional",,,-1.86,3515.99,3.32,22.45,-63.46,-164.4,,,,,,,,,,,,,,0.2,0.2,0.2,0.33,0.99,0.97,0.9,0.11,200000,0.4,0,0,30,40,0.9,1,0
"mesh","graphiconly","sky_double_mito_gloomy_01_b_ddm",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///sky_double_mito_gloomy_01_b_ddm.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","arch_halfs",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///arch_halfs.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","big_pipe",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///big_pipe.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","bottom_cogs",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///bottom_cogs.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","bottom_square",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///bottom_square.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_front_medium",,-2.73,2.27,23.44,0,-25,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_front_medium.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_front_medium.1",,-3.04,2.05,23.17,0,-25,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_front_medium.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_front_small",,1.65,2.91,23.58,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_front_small.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_front_small.1",,1.15,3.08,23.58,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_front_small.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_holder",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_holder.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_large",,-7.86,2.67,18.18,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_large.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_large.1",,-7.85,2.36,19.12,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_large.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_large.2",,8.29,2.36,19.12,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_large.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_large.3",,8.27,2.67,18.18,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_large.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_medium",,8.29,2.52,21.65,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_medium.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_medium.1",,8.29,1.92,21.21,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_medium.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_medium.2",,-7.86,2.52,21.65,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_medium.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_medium.3",,-7.86,1.92,21.21,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_medium.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_small",,8.27,2.75,16.22,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_small.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_small.1",,8.27,2.32,15.91,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_small.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_small.2",,8.27,1.9,16.22,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_small.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_small.3",,-7.86,2.75,16.22,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_small.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_small.4",,-7.86,2.32,15.91,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_small.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","cog_small.5",,-7.86,1.9,16.22,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///cog_small.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","columns",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///columns.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","door_frame",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///door_frame.mesh",,,,,,,,,,,,,,,,,
